Estimations_SA1_h8_R100_  1,Estimations_SA1_h8_R100_  2,Estimations_SA1_h8_R100_  3,Estimations_SA1_h8_R100_  4,Estimations_SA1_h8_R100_  5,Estimations_SA1_h8_R100_  6,Estimations_SA1_h8_R100_  7,Estimations_SA1_h8_R100_  8,Estimations_SA1_h8_R100_  9,Estimations_SA1_h8_R100_ 10,Estimations_SA1_h8_R100_ 11,Estimations_SA1_h8_R100_ 12,Estimations_SA1_h8_R100_ 13,Estimations_SA1_h8_R100_ 14,Estimations_SA1_h8_R100_ 15,Estimations_SA1_h8_R100_ 16,Estimations_SA1_h8_R100_ 17,Estimations_SA1_h8_R100_ 18,Estimations_SA1_h8_R100_ 19,Estimations_SA1_h8_R100_ 20,Estimations_SA1_h8_R100_ 21,Estimations_SA1_h8_R100_ 22,Estimations_SA1_h8_R100_ 23,Estimations_SA1_h8_R100_ 24,Estimations_SA1_h8_R100_ 25,Estimations_SA1_h8_R100_ 26,Estimations_SA1_h8_R100_ 27,Estimations_SA1_h8_R100_ 28,Estimations_SA1_h8_R100_ 29,Estimations_SA1_h8_R100_ 30,Estimations_SA1_h8_R100_ 31,Estimations_SA1_h8_R100_ 32,Estimations_SA1_h8_R100_ 33,Estimations_SA1_h8_R100_ 34,Estimations_SA1_h8_R100_ 35,Estimations_SA1_h8_R100_ 36,Estimations_SA1_h8_R100_ 37,Estimations_SA1_h8_R100_ 38,Estimations_SA1_h8_R100_ 39,Estimations_SA1_h8_R100_ 40,Estimations_SA1_h8_R100_ 41,Estimations_SA1_h8_R100_ 42,Estimations_SA1_h8_R100_ 43,Estimations_SA1_h8_R100_ 44,Estimations_SA1_h8_R100_ 45,Estimations_SA1_h8_R100_ 46,Estimations_SA1_h8_R100_ 47,Estimations_SA1_h8_R100_ 48,Estimations_SA1_h8_R100_ 49,Estimations_SA1_h8_R100_ 50,Estimations_SA1_h8_R100_ 51,Estimations_SA1_h8_R100_ 52,Estimations_SA1_h8_R100_ 53,Estimations_SA1_h8_R100_ 54,Estimations_SA1_h8_R100_ 55,Estimations_SA1_h8_R100_ 56,Estimations_SA1_h8_R100_ 57,Estimations_SA1_h8_R100_ 58,Estimations_SA1_h8_R100_ 59,Estimations_SA1_h8_R100_ 60,Estimations_SA1_h8_R100_ 61,Estimations_SA1_h8_R100_ 62,Estimations_SA1_h8_R100_ 63,Estimations_SA1_h8_R100_ 64,Estimations_SA1_h8_R100_ 65,Estimations_SA1_h8_R100_ 66,Estimations_SA1_h8_R100_ 67,Estimations_SA1_h8_R100_ 68,Estimations_SA1_h8_R100_ 69,Estimations_SA1_h8_R100_ 70,Estimations_SA1_h8_R100_ 71,Estimations_SA1_h8_R100_ 72,Estimations_SA1_h8_R100_ 73,Estimations_SA1_h8_R100_ 74,Estimations_SA1_h8_R100_ 75,Estimations_SA1_h8_R100_ 76,Estimations_SA1_h8_R100_ 77,Estimations_SA1_h8_R100_ 78,Estimations_SA1_h8_R100_ 79,Estimations_SA1_h8_R100_ 80,Estimations_SA1_h8_R100_ 81,Estimations_SA1_h8_R100_ 82,Estimations_SA1_h8_R100_ 83,Estimations_SA1_h8_R100_ 84,Estimations_SA1_h8_R100_ 85,Estimations_SA1_h8_R100_ 86,Estimations_SA1_h8_R100_ 87,Estimations_SA1_h8_R100_ 88,Estimations_SA1_h8_R100_ 89,Estimations_SA1_h8_R100_ 90,Estimations_SA1_h8_R100_ 91,Estimations_SA1_h8_R100_ 92,Estimations_SA1_h8_R100_ 93,Estimations_SA1_h8_R100_ 94,Estimations_SA1_h8_R100_ 95,Estimations_SA1_h8_R100_ 96,Estimations_SA1_h8_R100_ 97,Estimations_SA1_h8_R100_ 98,Estimations_SA1_h8_R100_ 99,Estimations_SA1_h8_R100_100,Estimations_SA1_h8_R100_101
13908,11876,12826,12155,12456,13644,12209,14183,13770,13208,13387,14030,12971,14125,13801,12673,12173,12957,13324,12464,12818,12754,13713,12742,12322,14346,14055,14436,12703,12324,12650,12804,12939,12138,13157,12262,13284,14030,12516,12742,14196,13953,13891,13961,13328,12690,13806,13790,12551,12704,14654,11875,12707,13501,13309,12725,12077,12894,12109,13065,12443,12276,11745,13546,12947,14620,13549,13133,13438,12789,17261,13088,11316,11991,14840,14090,12784,12626,12446,12809,12151,13793,12256,12958,12353,14010,13310,14075,12324,12639,13941,11635,13462,11939,12553,12994,13285,12762,12196,12361,12335
13944,11969,12833,12249,12487,13725,12242,14217,13867,13247,13414,14058,13019,14131,13948,12682,12258,13070,13429,12475,12900,12785,13741,12753,12323,14420,14070,14564,13045,12341,12658,12951,12945,12174,13188,12325,13330,14096,12576,12834,14338,13990,13977,14035,13355,12811,13896,13802,12952,12707,14672,11890,12860,13550,13388,12781,12078,12943,12113,13074,12481,12283,11746,13630,13023,14665,13553,13169,13536,12835,17483,13159,11372,12000,14933,14178,12789,12697,12467,12923,12273,13863,12331,12962,12414,14010,13361,14184,12349,12713,14037,11665,13512,11955,12589,13013,13300,12823,12287,12382,12380
14067,11988,12856,12262,12492,13773,12278,14225,14013,13291,13489,14131,13036,14137,13993,12727,12340,13170,13530,12478,13030,12796,13811,12809,12333,14471,14094,14596,13308,12362,12663,13024,13068,12220,13217,12406,13411,14176,12619,12947,14379,13996,14046,14051,13371,12894,13968,13844,13227,12731,14697,11899,12960,13671,13586,12885,12318,12988,12154,13110,12553,12337,11750,13736,13086,14668,13623,13187,13684,12937,17657,13175,11398,12013,15055,14243,12799,12700,12488,12977,12301,13882,12384,12970,12530,14041,13402,14214,12363,12800,14125,11673,13535,11978,12601,13136,13330,12916,12362,12399,12466
14149,12044,12923,12293,12527,13819,12300,14297,14146,13373,13560,14220,13097,14156,14055,12790,12445,13291,13614,12512,13098,12821,13901,12851,12399,14549,14112,14663,13456,12398,12705,13057,13209,12285,13244,12488,13530,14253,12662,13036,14397,14030,14058,14058,13455,12936,14071,13844,13390,12799,14765,11903,13050,13754,13725,12970,12532,13049,12182,13130,12596,12386,11776,13822,13126,14728,13737,13252,13809,13027,17777,13212,11433,12068,15183,14250,12811,12753,12496,12981,12368,13939,12406,12970,12585,14116,13418,14312,12393,12928,14219,11705,13537,12009,12638,13279,13332,13065,12413,12434,12598
14223,12105,13033,12318,12531,13848,12333,14374,14242,13410,13594,14289,13107,14210,14102,12797,12537,13385,13626,12513,13149,12904,14035,12879,12404,14626,14122,14743,13588,12474,12732,13075,13251,12404,13262,12557,13635,14304,12735,13167,14402,14089,14104,14176,13519,12947,14164,13863,13508,12898,14872,11953,13132,13788,13848,12981,12655,13055,12192,13142,12605,12511,11801,13907,13171,14804,13828,13278,13928,13103,17847,13267,11499,12087,15304,14356,12836,12864,12550,12984,12484,13975,12441,13011,12599,14116,13419,14398,12467,13015,14305,11757,13547,12086,12673,13383,13415,13230,12475,12443,12724
14224,12167,13212,12323,12532,13884,12338,14453,14298,13442,13610,14374,13119,14264,14142,12809,12601,13477,13699,12547,13185,12967,14124,12923,12524,14714,14184,14795,13723,12608,12758,13112,13307,12496,13307,12557,13705,14330,12776,13287,14424,14178,14183,14262,13522,12955,14298,13909,13649,12969,14970,11970,13187,13802,13937,12994,12735,13073,12217,13154,12643,12573,11810,13941,13207,14878,13922,13359,13998,13136,17883,13356,11595,12151,15386,14481,12858,12948,12624,13020,12570,13983,12446,13056,12661,14138,13460,14462,12493,13052,14418,11832,13548,12155,12761,13458,13521,13297,12602,12500,12854
14263,12203,13380,12386,12550,13912,12383,14565,14319,13461,13629,14485,13176,14275,14197,12851,12637,13614,13852,12570,13218,13055,14163,12926,12554,14724,14232,14829,13839,12721,12764,13144,13382,12566,13322,12578,13751,14345,12784,13369,14509,14306,14288,14379,13535,13054,14394,13995,13723,12996,14997,12016,13238,13810,13999,13014,12772,13085,12238,13180,12760,12624,11825,13958,13275,14926,13967,13421,14002,13177,17942,13388,11622,12248,15462,14567,12901,12968,12710,13099,12612,14004,12449,13082,12803,14181,13488,14737,12504,13068,14532,11834,13614,12180,12884,13471,13658,13334,12733,12589,12968
14286,12207,13570,12418,12575,13944,12406,14651,14327,13508,13674,14617,13225,14311,14242,12859,12695,13711,14003,12574,13248,13099,14252,12965,12646,15288,14315,14911,13985,12832,12797,13239,13444,12601,13653,12607,13753,14409,12854,13441,14574,14477,14422,14474,13535,13146,14460,14112,13957,13009,15007,12019,13291,13823,14108,13036,12800,13331,12284,13231,12863,12653,11834,13991,13291,14964,14011,13446,14046,13204,18042,13445,11664,12300,15543,14646,12924,12975,12828,13202,12620,14034,12454,13084,12890,14194,13516,14893,12557,13156,14616,11859,13695,12224,12984,13594,13788,13401,12824,12703,13048
14338,12265,13764,12490,12595,14007,12419,14766,14421,13518,13699,14700,13296,14406,14282,12866,12785,13796,14118,12621,13297,13143,14343,13047,12760,15702,14336,14938,14025,12935,12825,13290,13600,12622,13848,12615,13765,14491,12965,13516,14587,14509,14527,14516,13574,13215,14574,14161,14096,13050,15013,12137,13431,13826,14172,13109,12831,13527,12327,13267,12920,12677,11918,14051,13574,14987,14174,13526,14109,13219,18174,13508,11716,12333,15696,14761,12934,12992,12919,13258,12638,14133,12478,13136,12959,14233,13565,14983,12631,13180,14738,11895,13803,12268,13065,13711,13874,13478,12835,12828,13135
14397,12371,13942,12567,12624,14048,12446,14911,14517,13551,13747,14812,13360,14469,14360,12899,12834,13875,14188,12622,13356,13201,14460,13066,12828,15995,14348,14955,14077,13041,12833,13340,13652,12793,13947,12637,13806,14588,13006,13618,14650,14591,14608,14534,13598,13309,14738,14180,14200,13125,15085,12243,13490,13838,14236,13134,12863,13692,12371,13268,12990,12690,11954,14173,13623,15009,14246,13557,14234,13244,18302,13514,11718,12344,15710,14877,12963,13030,13012,13301,12666,14228,12755,13202,12975,14290,13590,15008,12712,13181,14854,11993,13921,12313,13079,13799,13936,13527,12945,12921,13270
14498,12506,14037,12665,12644,14310,12473,15028,14620,13684,13747,14884,13368,14586,14402,12939,12846,13913,14287,12644,13396,13311,14555,13123,12874,16150,14376,14977,14136,13100,12908,13377,13661,12919,14018,12644,13944,14685,13347,13751,14767,14890,14668,14573,13609,13390,14802,14250,14287,13171,15173,12277,13516,13870,14276,13167,12872,13793,12428,13276,13033,12690,11996,14311,13642,15027,14252,13562,14373,13342,18424,13515,11762,12349,15716,14995,12968,13094,13148,13307,12669,14305,12940,13290,13081,14346,13623,15083,12764,13186,14861,12154,13954,12362,13125,13827,13977,13568,12957,12947,13353
14528,12580,14040,12760,12687,14475,12532,15083,14637,13770,13750,14956,13401,14671,14409,13070,12875,13977,14381,12663,13457,13434,14634,13169,12973,16262,14401,15037,14196,13154,13008,13428,13684,12966,14077,12657,14073,14786,13590,13805,14847,15019,14684,14579,13690,13504,14821,14320,14398,13213,15239,12283,13567,13920,14317,13191,12885,13844,12463,13279,13083,12706,12028,14441,13688,15057,14286,13588,14567,13405,18494,13590,11830,12361,15760,15018,13012,13136,13274,13349,12683,14398,13107,13306,13190,14407,13649,15152,12839,13259,14978,12309,13996,12406,13165,13880,14064,13584,13121,12951,13355
14560,12624,14060,12856,12784,14544,12544,15097,14649,13837,13758,15102,13445,14744,14463,13218,12900,13993,14429,12728,13506,13508,14714,13234,13046,16319,14478,15109,14305,13179,13042,13454,13689,12979,14196,12673,14179,14870,13784,13819,14904,15033,14769,14632,13730,13620,14898,14362,14531,13271,15241,12298,13613,14088,14366,13195,12900,13968,12466,13301,13335,12709,12100,14496,13738,15118,14294,13678,14729,13504,18575,13680,11834,12368,15850,15027,13042,13178,13437,13368,12819,14465,13236,13330,13279,14509,13670,15203,12920,13313,15047,12383,14011,12506,13224,13924,14130,13601,13157,12967,13411
14580,12639,14067,12894,12848,14604,12562,15178,14664,13838,13759,15440,13491,14788,14536,13243,12928,14029,14443,12833,13594,13596,14812,13290,13119,16338,14561,15171,14410,13255,13086,13487,13706,13027,14352,12740,14212,14918,13930,13863,14920,15055,14771,14726,13777,13702,14993,14420,14629,13307,15310,12406,13617,14292,14393,13224,12924,14075,12480,13325,13519,12737,12116,14567,13752,15225,14317,13843,14830,13593,18600,13747,11878,12425,15879,15071,13084,13274,13448,13453,12958,14497,13358,13361,13369,14629,13709,15237,12980,13354,15240,12471,14053,12582,13271,13935,14232,13632,13315,12974,13484
14651,12684,14154,12920,12943,14643,12569,15220,14682,13850,13765,15726,13558,14859,14571,13273,12930,14068,14452,12932,13609,13683,14880,13293,13189,16381,14754,15209,14527,13400,13102,13532,13740,13033,14536,12771,14294,14989,13981,13921,14952,15060,14787,14740,13816,13744,15068,14495,14698,13327,15425,12503,13619,14496,14416,13225,12972,14356,12495,13328,13687,13149,12197,14654,13774,15322,14372,13918,14891,13664,18626,13775,11909,12525,15954,15155,13194,13345,13457,13547,13042,14518,13526,13367,13407,14762,13750,15237,13096,13425,15316,12512,14125,12680,13273,13980,14312,13655,13428,13037,13520
14690,12686,14302,13190,13024,14693,12582,15227,14708,13918,13779,15944,13590,14970,14576,13296,12953,14077,14490,13021,13685,13711,14892,13295,13266,16459,14926,15212,14589,13608,13112,13607,13753,13045,14705,12786,14331,14994,14012,13943,14989,15144,14839,14742,13864,13784,15094,14620,14748,13340,15533,12547,13668,14701,14450,13244,12991,14507,12533,13359,13807,13438,12230,14737,13814,15422,14421,13928,14935,13779,18639,13829,11977,12615,16004,15280,13330,13399,13475,13585,13122,14533,13647,13411,13432,14813,13823,15317,13200,13501,15355,12618,14169,12735,13296,14094,14407,13717,13494,13213,13678
14692,12712,14459,13324,13065,14751,12605,15284,14744,13952,13833,16040,13613,15045,14585,13370,13039,14126,14514,13081,13780,13800,15085,13297,13351,16490,15114,15238,14662,13782,13170,13666,13774,13098,14767,12844,14414,15067,14016,13980,15025,15239,14900,14817,13878,13784,15127,14750,14785,13346,15581,12549,13790,14813,14469,13263,13041,14540,12665,13422,13916,13574,12237,14807,13821,15461,14469,13942,14982,13882,18694,13983,12013,12686,16029,15405,13420,13410,13502,13626,13194,14568,13735,13416,13463,15013,13871,15321,13337,13534,15373,12677,14251,12763,13339,14198,14521,13924,13570,13291,13985
14707,12745,14592,13395,13112,14753,12614,15368,14778,13965,13949,16091,13622,15059,14594,13443,13116,14160,14519,13107,13820,13835,15194,13368,13426,16497,15337,15252,14754,13962,13271,13753,13838,13224,14827,12927,14447,15118,14064,14022,15029,15273,14940,14858,13926,13803,15176,14838,14827,13365,15673,12607,14019,14842,14563,13314,13139,14546,12801,13492,13948,13628,12250,14907,13841,15514,14500,13976,15043,13990,18829,14042,12016,12753,16185,15447,13444,13461,13519,13641,13303,14604,13883,13445,13479,15148,13966,15335,13416,13565,15375,12737,14296,12807,13360,14260,14625,14049,13699,13308,14183
14799,12854,14689,13415,13130,14755,12657,15478,14848,14002,14048,16135,13669,15063,14611,13515,13140,14217,14526,13126,13829,13930,15236,13486,13513,16528,15552,15263,14909,14063,13388,13806,13922,13344,14880,13029,14493,15139,14223,14033,15029,15286,15025,14932,13967,13851,15275,14926,14916,13549,15737,12643,14178,14912,14719,13385,13208,14573,12979,13556,13971,13682,12259,14977,13857,15524,14519,14044,15319,14074,18961,14045,12060,12816,16252,15504,13452,13463,13541,13671,13432,14666,14034,13455,13482,15240,14077,15341,13463,13609,15527,12863,14310,12833,13434,14318,14714,14129,13822,13418,14279
14904,12938,14730,13480,13150,14757,12703,15638,14974,14107,14109,16212,13717,15084,14651,13605,13197,14330,14538,13216,13861,14073,15329,13563,13625,16571,15743,15315,15104,14139,13473,13835,13942,13438,14974,13129,14525,15174,14397,14071,15041,15314,15036,14947,13977,13920,15358,15011,14981,13615,15851,12660,14235,14983,14855,13398,13298,14674,13085,13603,14041,13721,12301,15145,13876,15527,14520,14090,15481,14195,19076,14064,12093,12919,16283,15533,13468,13610,13632,13708,13501,14749,14250,13478,13498,15262,14159,15370,13475,13694,15622,12927,14331,12834,13503,14354,14758,14190,13954,13497,14356
14949,12988,14767,13556,13184,14810,12786,15741,15104,14199,14157,16326,13719,15100,14816,13638,13251,14445,14543,13346,13898,14113,15345,13575,13703,16661,15904,15337,15151,14209,13550,13860,13956,13496,15135,13239,14568,15236,14548,14104,15058,15344,15047,14957,13992,13958,15474,15058,15060,13624,16075,12678,14260,15057,14894,13547,13323,14734,13092,13638,14147,13784,12363,15280,13911,15575,14539,14114,15535,14254,19174,14064,12114,13056,16296,15609,13498,13674,13692,13756,13537,14875,14574,13522,13542,15353,14171,15439,13516,13759,15684,12984,14391,12835,13545,14374,14760,14193,14089,13530,14397
14982,13005,14824,13647,13188,14852,12843,15838,15174,14221,14290,16495,13744,15174,14886,13648,13369,14555,14546,13423,13902,14129,15367,13576,13744,16719,16065,15363,15210,14229,13633,13900,14019,13505,15225,13406,14630,15285,14648,14179,15067,15396,15117,14959,14006,14017,15569,15144,15093,13629,16243,12684,14311,15161,14942,13700,13361,14834,13155,13670,14280,13879,12422,15400,13925,15649,14607,14158,15541,14275,19264,14074,12196,13210,16314,15674,13556,13709,13820,13837,13577,14958,14824,13552,13592,15427,14180,15484,13567,13892,15752,12993,14501,12889,13580,14391,14793,14240,14125,13670,14437
15026,13013,14845,13659,13249,14883,12910,15893,15195,14279,14425,16603,13785,15242,14935,13712,13519,14571,14745,13511,13926,14203,15427,13635,13798,16729,16254,15380,15264,14243,13724,13962,14052,13547,15313,13504,14662,15331,14728,14231,15097,15501,15179,15038,14053,14093,15593,15250,15277,13661,16368,12695,14398,15219,14985,13785,13416,14948,13296,13686,14355,13887,12437,15550,13956,15721,14679,14266,15636,14291,19350,14083,12258,13337,16368,15752,13560,13737,13930,13890,13614,15006,14986,13570,13662,15453,14182,15517,13598,13971,15927,13049,14603,12916,13591,14417,14834,14303,14137,13816,14508
15095,13127,14865,13747,13257,14886,12973,15948,15197,14310,14492,16626,13808,15280,14947,13768,13659,14620,14852,13535,13928,14270,15501,13691,14085,16759,16422,15423,15353,14248,13811,14014,14135,13614,15326,13683,14712,15399,14781,14261,15132,15686,15195,15126,14105,14256,15595,15297,15408,13776,16485,12752,14427,15270,15015,13808,13673,15043,13408,13715,14370,13909,12502,15704,13956,15773,14707,14356,15690,14335,19389,14129,12287,13471,16402,15880,13582,13832,14039,13907,13635,15009,15069,13593,13733,15473,14257,15578,13620,14025,16001,13094,14671,12948,13603,14459,14849,14334,14138,13878,14514
15143,13157,14895,13893,13282,14928,13097,16037,15251,14439,14521,16689,13886,15296,15015,13849,13799,14654,14914,13591,13950,14328,15526,13761,14338,16852,16587,15531,15416,14269,13862,14036,14159,13619,15353,13948,14763,15482,14863,14266,15157,15780,15237,15273,14125,14367,15624,15360,15418,13872,16556,12757,14505,15314,15085,13835,13920,15164,13492,13788,14400,13944,12568,15809,14150,15865,14764,14545,15773,14340,19416,14166,12385,13500,16459,16054,13590,13934,14125,13915,13665,15019,15249,13610,13807,15491,14313,15621,13693,14048,16023,13128,14710,13093,13827,14546,14883,14364,14168,13882,14616
15213,13229,14895,13997,13298,14968,13235,16126,15420,14528,14558,16709,13949,15311,15072,13859,13913,14669,14920,13669,14068,14363,15623,13847,14475,16981,16774,15610,15464,14322,13900,14036,14191,13679,15441,14142,14849,15514,14923,14284,15167,15802,15276,15417,14198,14424,15641,15419,15463,13972,16613,12767,14556,15341,15136,13839,14087,15304,13539,13886,14451,14036,12634,15845,14283,15987,14873,14666,15807,14528,19440,14300,12502,13541,16554,16247,13607,13984,14159,13925,13683,15033,15309,13617,13916,15669,14346,15679,13788,14110,16052,13194,14886,13192,13996,14632,14895,14399,14255,13923,14739
15259,13332,14930,14050,13325,15072,13324,16209,15621,14558,14609,16769,13979,15363,15085,13879,14009,14820,14945,13731,14087,14385,15661,13857,14517,17117,16851,15669,15502,14428,13946,14044,14216,13777,15533,14260,14942,15537,14959,14319,15183,15825,15283,15498,14286,14503,15672,15439,15539,14027,16637,12787,14569,15343,15206,13874,14218,15403,13592,13920,14452,14127,12781,15867,14405,16106,15005,14791,15828,14680,19483,14450,12623,13594,16624,16382,13670,13990,14231,13926,13753,15039,15358,13617,14029,15781,14382,15722,13837,14195,16091,13297,15011,13266,14090,14637,14898,14443,14286,13927,14841
15297,13403,14946,14053,13348,15221,13383,16264,15797,14561,14638,16794,14022,15380,15144,13884,14017,14926,14970,13761,14179,14420,15753,13933,14541,17234,16880,15701,15533,14461,13954,14055,14245,13884,15872,14330,14987,15606,15384,14360,15201,15849,15321,15502,14351,14536,15712,15492,15582,14041,16660,12801,14665,15361,15237,13901,14346,15490,13638,13929,14497,14209,12874,15962,14535,16264,15092,14828,15980,14737,19489,14461,12684,13614,16700,16479,13766,14021,14322,13957,13780,15048,15374,13620,14124,15852,14399,15782,13878,14228,16123,13361,15142,13278,14149,14637,14898,14522,14454,13964,14964
15354,13443,15004,14057,13370,15373,13416,16291,15925,14588,14736,16828,14070,15386,15161,13917,14084,14975,15008,13777,14297,14432,15771,14009,14548,17323,16943,15713,15567,14512,14006,14064,14269,13920,16122,14371,15031,15662,15701,14414,15204,15884,15369,15503,14393,14573,15770,15548,15590,14061,16718,12805,14792,15378,15277,13947,14439,15587,13641,13994,14606,14313,12885,16089,14623,16334,15095,14846,16159,14833,19553,14464,12703,13642,16777,16543,13909,14060,14382,14025,13785,15077,15411,13668,14167,15890,14406,15795,13904,14265,16295,13405,15257,13304,14254,14671,14947,14600,14596,14015,15031
15386,13447,15131,14119,13393,15487,13435,16297,16090,14627,14748,16937,14110,15412,15208,13964,14302,15020,15079,13783,14387,14510,15779,14111,14604,17426,17001,15938,15584,14552,14037,14102,14287,13921,16342,14560,15227,15732,15811,14435,15237,15921,15428,15512,14405,14585,15796,15554,15654,14085,16743,12833,14913,15450,15296,13975,14492,15622,13713,14054,14656,14431,12928,16124,14657,16411,15193,14877,16296,14930,19584,14494,12736,13649,16793,16639,14044,14135,14427,14105,13821,15085,15485,13724,14196,15958,14408,15800,13925,14357,16377,13417,15335,13351,14266,14672,14947,14672,14787,14086,15139
15468,13463,15235,14197,13407,15590,13455,16321,16221,14671,14807,17018,14134,15443,15255,14005,14490,15027,15190,13816,14438,14581,15907,14181,14692,17473,17002,16017,15604,14596,14056,14111,14311,13959,16454,14713,15257,15749,15971,14453,15319,15962,15450,15525,14443,14691,15799,15582,15747,14099,16820,12866,15042,15589,15314,14041,14496,15735,13827,14083,14684,14536,12980,16138,14689,16493,15277,14994,16352,14975,19606,14523,12783,13652,16812,16792,14116,14242,14450,14146,13897,15153,15496,13758,14246,16047,14548,15808,13938,14458,16420,13445,15336,13423,14297,14681,15005,14690,14868,14207,15262
15592,13513,15262,14244,13483,15650,13504,16403,16279,14703,14908,17093,14137,15528,15314,14072,14572,15066,15258,13828,14488,14656,16018,14241,14825,17507,17080,16056,15637,14641,14131,14124,14314,14016,16584,14861,15277,15999,16106,14519,15377,15971,15503,15559,14444,14759,15819,15585,15812,14130,16859,12897,15115,15744,15336,14121,14583,15789,13863,14099,14736,14561,13077,16161,14691,16533,15301,15116,16419,14981,19701,14570,12788,13670,16813,16958,14136,14334,14521,14162,13987,15225,15520,13795,14256,16197,14692,15838,13962,14536,16465,13463,15343,13488,14310,14718,15056,14715,14894,14278,15408
15756,13582,15316,14266,13601,15746,13580,16547,16345,14734,14993,17130,14169,15675,15366,14166,14602,15070,15269,13859,14512,14669,16042,14245,14879,17528,17123,16084,15638,14687,14239,14139,14352,14041,16637,14977,15282,16130,16182,14683,15440,16014,15609,15580,14555,14768,15885,15599,15897,14185,16879,12917,15232,15886,15373,14248,14658,15839,13872,14149,14792,14631,13252,16232,14777,16564,15327,15232,16456,15018,19765,14648,12817,13677,16879,17087,14263,14408,14550,14260,14105,15236,15521,13833,14269,16225,14711,15862,13968,14610,16479,13471,15433,13551,14323,14751,15099,14741,14906,14323,15509
15893,13655,15390,14298,13740,15876,13662,16651,16446,14763,15069,17160,14171,15784,15391,14258,14639,15073,15362,13867,14534,14682,16095,14321,14885,17543,17185,16098,15661,14740,14322,14165,14431,14068,16653,15004,15309,16190,16217,14912,15476,16033,15657,15584,14658,14840,16080,15625,15908,14237,16912,12929,15254,15978,15428,14331,14687,15927,13874,14171,14900,14667,13339,16298,14906,16583,15344,15357,16502,15026,19809,14670,12849,13691,16940,17171,14398,14461,14553,14326,14256,15256,15541,13896,14307,16258,14741,15891,14002,14822,16491,13487,15530,13879,14335,14762,15119,14753,14973,14332,15579
16047,13706,15479,14346,13878,15951,13699,16713,16479,14770,15080,17356,14193,15894,15437,14317,14646,15081,15462,13872,14537,14695,16133,14365,14912,17609,17219,16184,15723,14786,14356,14183,14497,14105,16707,15027,15329,16225,16270,15121,15503,16103,15698,15677,14762,14949,16177,15639,15948,14302,16951,12983,15276,16053,15461,14423,14707,16054,13956,14203,15008,14705,13380,16424,15128,16583,15344,15456,16557,15037,19873,14692,12877,13732,16991,17234,14490,14469,14685,14410,14355,15317,15579,14009,14370,16298,14766,15894,14066,14968,16548,13551,15627,14152,14345,14784,15173,14773,15030,14357,15615
16145,13712,15575,14411,13908,15997,13727,16745,16536,14846,15090,17515,14224,15967,15535,14362,14648,15104,15505,14215,14583,14722,16207,14399,14999,17718,17282,16266,15742,14786,14365,14204,14554,14111,16776,15132,15366,16309,16434,15335,15521,16186,15772,15764,14769,15052,16218,15656,15967,14308,17034,12985,15333,16142,15547,14466,14731,16148,14025,14301,15086,14782,13386,16545,15274,16596,15344,15518,16563,15070,19918,14712,12888,13750,17013,17268,14522,14484,14756,14433,14396,15425,15628,14093,14512,16380,14768,15953,14097,15078,16620,13658,15664,14420,14349,14839,15193,14793,15157,14433,15709
16170,13855,15667,14519,13919,16020,13737,16761,16562,14896,15105,17642,14239,15971,15627,14365,14691,15114,15537,14493,14637,14791,16222,14407,15095,17905,17390,16390,15814,14817,14381,14205,14554,14135,16866,15211,15409,16381,16509,15469,15521,16254,16098,15897,14831,15159,16245,15706,16010,14368,17104,12992,15389,16268,15651,14505,14798,16220,14102,14333,15205,14892,13428,16621,15351,16651,15656,15550,16602,15117,19927,14733,12898,13756,17057,17305,14604,14544,14831,14445,14417,15477,15652,14166,14604,16515,14819,16006,14149,15139,16707,13797,15711,14663,14375,14851,15277,14810,15343,14555,15875
16230,13940,15696,14603,13939,16043,13761,16811,16627,14907,15237,17681,14347,16014,15700,14393,14715,15127,15725,14644,14722,14831,16239,14422,15301,18115,17548,16532,15911,14819,14427,14303,14570,14148,16875,15268,15507,16458,16569,15568,15566,16282,16331,15996,14881,15264,16253,15728,16044,14453,17182,13004,15471,16382,15696,14596,14864,16277,14169,14337,15221,14973,13472,16650,15380,16706,15947,15553,16645,15151,19932,14855,12934,13761,17109,17325,14656,14602,14845,14447,14420,15478,15681,14188,14710,16648,14851,16102,14151,15233,16835,13889,15743,14895,14455,14858,15300,14884,15487,14703,16074
16254,14033,15748,14708,14017,16054,13789,16899,16655,14995,15386,17685,14449,16039,15778,14462,14896,15209,15878,14705,14790,14854,16249,14424,15514,18278,17746,16668,15965,14851,14536,14345,14639,14180,16887,15292,15540,16485,16607,15670,15639,16309,16444,16101,14895,15293,16265,15737,16137,14510,17238,13015,15558,16396,15902,14676,14917,16332,14196,14495,15227,15055,13489,16660,15628,16752,16081,15579,16685,15179,19960,14996,12957,13798,17115,17354,14687,14670,14853,14512,14425,15519,15749,14212,14763,16755,14860,16156,14193,15318,16939,13971,15767,15123,14472,14883,15314,15035,15539,14825,16214
